ID,Name,Subject,Currpeople,Maxpeople,Left,Top,Height,Width,Rotate
1,103,ec,1,20,11,18,55,59,0
2,104,bi,16,20,145,18,91,61,0
3,105,bi/sk,4,20,267,18,89,60,0
4,106,sk,7,25,387,18,89,60,0
5,102,ec,3,25,11,98,62,46,0
6,101,bi/bsk,23,25,73,98,62,46,0
7,110,mu,1,25,178,99,75,130,0
8,111,,9,25,177,289,54,54,0
9,112,,4,25,177,345,75,164,0
10,121,ne,5,25,374,256,57,53,0
11,120,ne,20,25,376,309,53,51,0
12,119,ne,19,25,376,361,54,52,0
13,118,ne,20,20,376,415,54,51,0
14,117,fa,18,20,376,467,54,52,0
15,113,na,8,30,178,527,72,73,0
16,114,na/sc,25,35,288,546,88,54,0
17,115,na,10,15,416,545,52,55,0
18,116,fa,8,20,469,546,51,55,0
19,107,,6,20,458,97,47,48,0
20,122,en,15,20,551,309,56,52,0
21,123,en,4,25,551,362,54,50,0
22,124,en,19,20,551,414,55,52,0
23,125,du,6,20,552,468,54,52,0
24,126,du,24,25,553,548,52,52,0
25,127,kt,11,15,627,546,54,55,0
26,128,kt,15,15,682,547,55,54,0
27,129,gs,11,15,738,547,53,54,0
28,130,gs,15,15,791,547,55,54,0
29,108,,3,15,674,50,62,56,-3
30,109,,0,15,755,45,82,55,-3
31,pr2,,1,5,377,546,38,55,0
32,pr1,,3,5,114,18,30,59,0
